Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026137,-0.13908,0.095138,0,0,0,0.23695,0.00032097,-6.6887E-18,1.9851E-17,0.00016917,-1.3585E-07,0.00016932,0,0,0,0,0,0,package://DClaw/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://DClaw/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1_1,0.0529307363803791,0.0385198768391719,-0.0233325145752905,0,0,0,0.0500997884947533,8.46988226640586E-06,2.52536845571668E-08,4.35843902037739E-08,1.25184344824975E-05,-4.80451790682091E-07,1.19676234178441E-05,0,0,0,0,0,0,package://DClaw/meshes/Link1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link1_1.STL,,Link_1-1,Origin_Joint1_1,Axis_Joint1_1,Joint1_1,revolute,0.033836,-0.086572,0.0038435,2.6178,0.014876,-0.025864,base_link,0,0.86525,-0.50134,10,100,-1.57,1.57,,,,,,,,
Link2_1,0.042772791416322,0.026589664637582,-0.0163091170217141,0,0,0,0.0500997884947319,1.01771982658268E-05,-2.01425290149011E-06,1.19578658191413E-06,1.15646942625028E-05,-2.37734720825577E-07,1.12140476384129E-05,0,0,0,0,0,0,package://DClaw/meshes/Link2_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link2_1.STL,,Link_2-2,Origin_Joint2_1,Axis_Joint2_1,Joint2_1,revolute,0.068497,0.038635,-0.023133,0.085364,-0.30753,-0.57541,Link1_1,0.009437,0.50132,0.86521,10,100,-1.57,1.57,,,,,,,,
Link3_1,0.0442903087940754,-0.000239198916252412,0.00034461478971537,0,0,0,0.0260028886170262,3.47766071448909E-06,2.11116847505688E-08,-2.83202987068677E-08,8.31543259135555E-06,6.45313369832249E-07,7.56503514497011E-06,0,0,0,0,0,0,package://DClaw/meshes/Link3_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link3_1.STL,,Link_Finger-3,Origin_Joint3_1,Axis_Joint3_1,Joint3_1,revolute,0.055352,0.034651,-0.020681,-0.85342,0.42531,0.84594,Link2_1,0.009437,0.49863,-0.86676,10,100,-1.57,1.57,,,,,,,,
Link1_2,0.0529307363804316,0.00765586742462304,-0.00544929173954749,0,0,0,0.0500997884944988,8.46988226640579E-06,2.52536845466873E-08,4.35843902172771E-08,1.25184344824698E-05,-4.80451790692476E-07,1.19676234178535E-05,0,0,0,0,0,0,package://DClaw/meshes/Link1_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link1_2.STL,,Link_1-3,Origin_Joint1_2,Axis_Joint1_2,Joint1_2,revolute,0.033836,-0.11353,0.13927,1.571,0.014928,0.025769,base_link,0,0.86525,-0.50134,10,100,-1.57,1.57,,,,,,,,
Link2_2,0.0427727914164529,0.0265896646374586,-0.016309117021747,0,0,0,0.050099788494456,1.01771982658377E-05,-2.01425290148224E-06,1.19578658193044E-06,1.15646942624709E-05,-2.37734720827873E-07,1.12140476384109E-05,0,0,0,0,0,0,package://DClaw/meshes/Link2_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link2_2.STL,,Link_2-1,Origin_Joint2_2,Axis_Joint2_2,Joint2_2,revolute,0.068497,0.0077714,-0.00525,0.089096,-0.31316,-0.58804,Link1_2,0.009437,0.50132,0.86521,10,100,-1.57,1.57,,,,,,,,
Link3_2,0.0442903093046455,-0.000239206569714906,0.000344612821146173,0,0,0,0.0260028959491832,3.47766133368847E-06,2.11100347282574E-08,-2.83208731773161E-08,8.3154334525292E-06,6.45312461662716E-07,7.56503448656785E-06,0,0,0,0,0,0,package://DClaw/meshes/Link3_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link3_2.STL,,Link_Finger-1,Origin_Joint3_2,Axis_Joint3_2,Joint3_2,revolute,0.055352,0.034651,-0.020681,-0.94339,0.33385,0.59814,Link2_2,0.009437,0.49863,-0.86676,10,100,-1.57,1.57,,,,,,,,
Link1_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://DClaw/meshes/Link1_3.STL,1,1,1,1,0,0,0,0,0,0,package://DClaw/meshes/Link1_3.STL,,Link_1-2,Origin_Joint1_3,Axis_Joint1_3,Joint1_3,revolute,0.033836,-0.16663,0.095224,0.5236,-0.013932,2.1609E-05,base_link,0,0.86525,-0.50134,10,100,-1.57,1.57,,,,,,,,
Link2_3,0.0427727914163404,0.0265896646374374,-0.0163091170218451,0,0,0,0.0500997884940055,1.01771982657949E-05,-2.01425290150859E-06,1.19578658193342E-06,1.15646942624502E-05,-2.37734720844503E-07,1.1214047638349E-05,0,0,0,0,0,0,package://DClaw/meshes/Link2_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link2_3.STL,,Link_2-3,Origin_Joint2_3,Axis_Joint2_3,Joint2_3,revolute,0.068497,-0.028696,0.01588,0.063109,-0.26992,-0.49445,Link1_3,0.009437,0.50132,0.86521,10,100,-1.57,1.57,,,,,,,,
Link3_3,0.0442903089361738,-0.000239208986878653,0.000344609604304449,0,0,0,0.0260028939266903,3.47766127714631E-06,2.11094770759259E-08,-2.83214952644635E-08,8.31543405300118E-06,6.45312344442177E-07,7.56503402448085E-06,0,0,0,0,0,0,package://DClaw/meshes/Link3_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DClaw/meshes/Link3_3.STL,,Link_Finger-2,Origin_Joint3_3,Axis_Joint3_3,Joint3_3,revolute,0.055352,0.034651,-0.020681,2.212,0.33079,0.64036,Link2_3,0.009437,0.49863,-0.86676,10,100,-1.57,1.57,,,,,,,,
